iter	RMSE
0	47.55382598
1	45.59791752
2	43.74139889
3	42.09044686
4	40.40172799
5	38.79464812
6	37.30301808
7	35.91861809
8	34.54996729
9	33.24927508
10	32.01982209
11	30.8512024
12	29.74886524
13	28.70335942
14	27.73807966
15	26.78435311
16	25.88549018
17	25.09469278
18	24.34668053
19	23.6253206
20	22.89775364
21	22.21248438
22	21.61039101
23	20.95619883
24	20.38271374
25	19.81460284
26	19.27838328
27	18.73892478
28	18.27805723
29	17.82559661
30	17.42113173
31	16.98693317
32	16.59029916
33	16.21555615
34	15.86472193
35	15.55700015
36	15.20012251
37	14.92628016
38	14.65749002
39	14.3887342
40	14.10258024
41	13.8187817
42	13.5491011
43	13.31236465
44	13.1236564
45	12.93679464
46	12.73571156
47	12.56608818
48	12.38464979
49	12.19630844
50	12.02887092
51	11.87312558
52	11.75517469
53	11.59438817
54	11.43126394
55	11.28676877
56	11.15705906
57	11.02558417
58	10.92995205
59	10.8147145
60	10.70568525
61	10.59010312
62	10.4620542
63	10.3497484
64	10.21570043
65	10.12645597
66	10.05494216
67	9.962999566
68	9.852527032
69	9.74685453
70	9.6942754
71	9.5897241
72	9.514680285
73	9.431665926
74	9.334484093
75	9.263101066
76	9.205035989
77	9.132591422
78	9.079124686
79	9.015541409
80	8.962384859
81	8.888217335
82	8.836448268
83	8.785028478
84	8.740627845
85	8.660969704
86	8.591199699
87	8.537155623
88	8.502118335
89	8.471221805
90	8.404018867
91	8.36102772
92	8.32359971
93	8.261881114
94	8.21741405
95	8.177560474
96	8.140173322
97	8.092041573
98	8.029206194
99	7.970093615
100	7.945365951
101	7.89010203
102	7.860874109
103	7.827425166
104	7.760611257
105	7.726995054
106	7.639310152
107	7.57281957
108	7.538652226
109	7.501335327
110	7.462646577
111	7.427049193
112	7.374852423
113	7.325927017
114	7.265708903
115	7.240004181
116	7.180452277
117	7.156203034
118	7.12026925
119	7.097536757
120	7.082080933
121	7.069939771
122	7.037058622
123	7.022054327
124	7.003627803
125	6.953311738
126	6.92686597
127	6.853702803
128	6.814685711
129	6.75423438
130	6.712211438
131	6.681915946
132	6.633145948
133	6.59775896
134	6.569585375
135	6.497537166
136	6.474600969
137	6.464101266
138	6.423820356
139	6.393082014
140	6.355284223
141	6.323253317
142	6.294933557
143	6.268746021
144	6.241643721
145	6.213204664
146	6.197119592
147	6.167763053
148	6.117181737
149	6.074861344
150	6.03901674
151	6.019572891
152	5.977209753
153	5.946554526
154	5.925542571
155	5.873497513
156	5.843184608
157	5.814735282
158	5.779365573
159	5.756070005
160	5.714082863
161	5.699392997
162	5.671656545
163	5.645071322
164	5.591368602
165	5.564627795
166	5.538591829
167	5.485588844
168	5.442517601
169	5.418648602
170	5.403317226
171	5.370248051
172	5.347921233
173	5.318680174
174	5.29762393
175	5.253691323
176	5.223724951
177	5.202295646
178	5.17791808
179	5.126477812
180	5.104806734
181	5.07436887
182	5.056814576
183	5.035453428
184	5.019731688
185	4.994164739
186	4.970789598
187	4.93582601
188	4.900253794
189	4.859659679
190	4.846205009
191	4.814672235
192	4.783449488
193	4.768692637
194	4.735148701
195	4.712093536
196	4.695897712
197	4.670157266
198	4.643778757
199	4.642056832
200	4.621857184
201	4.580830772
202	4.579003317
203	4.551914446
204	4.52224987
205	4.502584123
206	4.482512655
207	4.472962367
208	4.456145051
209	4.438768738
210	4.406007343
211	4.375084288
212	4.361731412
213	4.335105399
214	4.320910339
215	4.294575662
216	4.281702188
217	4.277517994
218	4.271871922
219	4.252652573
220	4.226906016
221	4.200889781
222	4.175832015
223	4.156204925
224	4.1432406
225	4.118371071
226	4.096521456
227	4.092564555
228	4.083001024
229	4.059479867
230	4.039408569
231	4.028034097
232	4.0089649
233	3.984786207
234	3.982700757
235	3.979740892
236	3.957014914
237	3.953424202
238	3.929835889
239	3.904531487
240	3.875752363
241	3.864537719
242	3.843729213
243	3.831628939
244	3.812464548
245	3.792952586
246	3.789717825
247	3.778594493
248	3.761911982
249	3.748981815
250	3.720877352
251	3.702817988
252	3.70033469
253	3.694565605
254	3.670388365
255	3.647850229
256	3.638358443
257	3.616098458
258	3.601604616
259	3.581585817
260	3.562891325
261	3.556526868
262	3.535369947
263	3.517918618
264	3.495015271
265	3.478391349
266	3.464604709
267	3.447242683
268	3.430879427
269	3.421016073
270	3.400738589
271	3.383148816
272	3.374888907
273	3.373476645
274	3.363952825
275	3.360768431
276	3.359412256
277	3.341325151
278	3.321257295
279	3.304513354
280	3.287754517
281	3.279468085
282	3.268886436
283	3.255570944
284	3.239883198
285	3.237593546
286	3.224498773
287	3.216162618
288	3.213398473
289	3.201800415
290	3.1939654
291	3.184790711
292	3.171557518
293	3.160489485
294	3.151528153
295	3.144418699
296	3.139989574
297	3.13134416
298	3.112486759
299	3.104332521
300	3.097843379
301	3.091287723
302	3.080991097
303	3.074497199
304	3.066237212
305	3.058415206
306	3.041722964
307	3.028637671
308	3.02123902
309	3.010167488
310	3.00370864
311	2.996333862
312	2.977444477
313	2.964150563
314	2.952440409
315	2.943245955
316	2.940873183
317	2.930579807
318	2.922957039
319	2.915798964
320	2.907276315
321	2.896386372
322	2.882217538
323	2.873878062
324	2.86561218
325	2.850547
326	2.842884161
327	2.836524571
328	2.823209149
329	2.817570123
330	2.812239789
331	2.804552412
332	2.796041177
333	2.789378146
334	2.78146577
335	2.765880131
336	2.760646966
337	2.755761787
338	2.75108918
339	2.748473427
340	2.73675431
341	2.72488287
342	2.714140726
343	2.706642546
344	2.691938278
345	2.687212995
346	2.673955889
347	2.671901544
348	2.659799379
349	2.649956345
350	2.638467594
351	2.631469193
352	2.619247915
353	2.614931387
354	2.603727347
355	2.596335277
356	2.586195398
357	2.574611147
358	2.56782114
359	2.560814427
360	2.550985129
361	2.538649266
362	2.536740597
363	2.531006927
364	2.526485313
365	2.516721273
366	2.511276817
367	2.50448451
368	2.498868036
369	2.495490755
370	2.485390278
371	2.478925579
372	2.47674527
373	2.465260525
374	2.461520825
375	2.460207463
376	2.447984966
377	2.446171338
378	2.438213056
379	2.427082014
380	2.424789457
381	2.417386796
382	2.412048909
383	2.401751314
384	2.39209679
385	2.37942558
