iter	Passed	Remaining
0	19	9905
1	36	9139
2	53	8878
3	70	8788
4	87	8707
5	105	8649
6	121	8577
7	138	8522
8	155	8486
9	172	8431
10	187	8355
11	204	8308
12	221	8302
13	238	8279
14	255	8267
15	273	8266
16	291	8288
17	323	8674
18	343	8694
19	362	8691
20	381	8690
21	398	8662
22	416	8631
23	436	8657
24	455	8650
25	474	8654
26	492	8626
27	512	8631
28	529	8596
29	546	8569
30	567	8578
31	585	8557
32	602	8523
33	620	8504
34	637	8464
35	654	8439
36	671	8401
37	688	8366
38	705	8335
39	721	8293
40	736	8246
41	753	8212
42	769	8179
43	785	8144
44	802	8110
45	819	8090
46	837	8075
47	856	8062
48	874	8050
49	892	8032
50	910	8015
51	929	8010
52	948	7996
53	965	7978
54	983	7959
55	1001	7942
56	1020	7930
57	1038	7917
58	1057	7901
59	1073	7871
60	1091	7854
61	1109	7835
62	1127	7818
63	1143	7788
64	1159	7760
65	1175	7731
66	1192	7707
67	1209	7685
68	1225	7657
69	1242	7632
70	1261	7623
71	1279	7603
72	1296	7582
73	1314	7566
74	1331	7546
75	1349	7527
76	1365	7503
77	1382	7478
78	1398	7450
79	1413	7423
80	1430	7400
81	1446	7375
82	1462	7349
83	1480	7331
84	1497	7311
85	1514	7291
86	1531	7268
87	1546	7241
88	1563	7221
89	1580	7200
90	1596	7176
91	1613	7153
92	1629	7131
93	1646	7111
94	1664	7094
95	1682	7078
96	1699	7059
97	1716	7039
98	1733	7020
99	1751	7004
100	1767	6983
101	1783	6960
102	1800	6938
103	1816	6916
104	1832	6893
105	1849	6873
106	1865	6850
107	1880	6826
108	1897	6805
109	1914	6788
110	1931	6770
111	1949	6754
112	1968	6740
113	1985	6723
114	2003	6706
115	2021	6691
116	2038	6673
117	2057	6662
118	2075	6645
119	2092	6626
120	2108	6604
121	2125	6584
122	2142	6565
123	2158	6544
124	2175	6525
125	2192	6506
126	2208	6486
127	2224	6464
128	2240	6442
129	2256	6422
130	2273	6404
131	2290	6384
132	2305	6362
133	2322	6343
134	2339	6326
135	2356	6307
136	2374	6290
137	2393	6277
138	2411	6261
139	2429	6247
140	2447	6232
141	2467	6220
142	2485	6206
143	2503	6189
144	2523	6178
145	2541	6163
146	2562	6152
147	2581	6139
148	2600	6126
149	2618	6110
150	2636	6093
151	2655	6080
152	2674	6065
153	2693	6051
154	2712	6037
155	2730	6021
156	2749	6006
157	2769	5995
158	2790	5984
159	2809	5969
160	2827	5953
161	2845	5937
162	2862	5919
163	2879	5899
164	2896	5880
165	2912	5860
166	2929	5840
167	2945	5821
168	2965	5807
169	2983	5791
170	2999	5771
171	3015	5750
172	3031	5729
173	3048	5712
174	3065	5693
175	3081	5672
176	3097	5651
177	3113	5631
178	3129	5611
179	3145	5592
180	3161	5571
181	3176	5550
182	3192	5530
183	3209	5512
184	3225	5491
185	3241	5471
186	3256	5451
187	3273	5432
188	3289	5412
189	3304	5392
190	3320	5372
191	3336	5351
192	3352	5332
