iter	RMSE
0	47.11616242
1	46.18144732
2	45.22879124
3	44.30087392
4	43.44789365
5	42.59529054
6	41.70999356
7	40.84328802
8	40.0520304
9	39.25636901
10	38.45151109
11	37.66890224
12	36.97550304
13	36.26782891
14	35.58462266
15	34.88642507
16	34.20751942
17	33.5607845
18	32.95838666
19	32.33666048
20	31.72859011
21	31.11645164
22	30.53161576
23	29.96097373
24	29.40212083
25	28.84228212
26	28.30526538
27	27.80744397
28	27.30383171
29	26.82897521
30	26.39069893
31	25.93311077
32	25.47039622
33	25.02230637
34	24.59694443
35	24.16410922
36	23.74020791
37	23.3659662
38	22.98439393
39	22.61638406
40	22.2411615
41	21.88285247
42	21.54794233
43	21.2036417
44	20.86184964
45	20.55714029
46	20.21163148
47	19.89916756
48	19.60161935
49	19.31190439
50	19.03012869
51	18.75829471
52	18.48831017
53	18.21511183
54	17.9677799
55	17.71753289
56	17.47248757
57	17.24069287
58	17.00319737
59	16.75550608
60	16.52298142
61	16.3057298
62	16.08770319
63	15.88985396
64	15.69113888
65	15.48223848
66	15.30576855
67	15.10422256
68	14.92705905
69	14.75941684
70	14.61687261
71	14.45511925
72	14.29277324
73	14.14910241
74	14.00527107
75	13.84980906
76	13.71831423
77	13.55769201
78	13.41996863
79	13.2587055
80	13.13349041
81	13.01806318
82	12.9098633
83	12.79636412
84	12.66206025
85	12.55038848
86	12.43640033
87	12.32617455
88	12.21030152
89	12.11950143
90	12.02569784
91	11.90992448
92	11.79434265
93	11.70336674
94	11.60701343
95	11.51855829
96	11.43134765
97	11.34963285
98	11.26600913
99	11.1926481
100	11.1223608
101	11.04558027
102	10.96251963
103	10.87287607
104	10.78804522
105	10.72232761
106	10.63909128
107	10.5808517
108	10.52482012
109	10.45422455
110	10.3874294
111	10.33115158
112	10.23932271
113	10.18522116
114	10.12492488
115	10.07557115
116	10.02270198
117	9.973496011
118	9.930193882
119	9.860441009
120	9.809278763
121	9.76459026
122	9.706361058
123	9.656906106
124	9.610277017
125	9.564089296
126	9.514709883
127	9.470942811
128	9.425922518
129	9.382057981
130	9.341568129
131	9.306527657
132	9.249750186
133	9.214928548
134	9.179640624
135	9.137215743
136	9.099366928
137	9.047528261
138	9.007750126
139	8.978440553
140	8.915587512
141	8.856851982
142	8.805642431
143	8.756628609
144	8.712637177
145	8.676000927
146	8.638707441
147	8.602027949
148	8.564027619
149	8.540085123
150	8.48192975
151	8.44400347
152	8.411124287
153	8.387599465
154	8.362317094
155	8.337872441
156	8.314116073
157	8.29379596
158	8.257124858
159	8.220959459
160	8.197978953
161	8.177127334
162	8.155951073
163	8.134277657
164	8.112345377
165	8.091826182
166	8.068420767
167	8.031166366
168	7.982448545
169	7.956699363
170	7.937327204
171	7.913793468
172	7.878126157
173	7.843245947
174	7.798947216
175	7.756598928
176	7.735556841
177	7.719037327
178	7.700033271
179	7.666536164
180	7.649889487
181	7.631383774
182	7.598836829
183	7.582550993
184	7.565318472
185	7.546533604
186	7.508434585
187	7.483775109
188	7.465088627
189	7.433505788
190	7.402420732
191	7.386979494
192	7.35269719
193	7.336130497
194	7.313389641
195	7.301256229
196	7.267565573
197	7.249013438
198	7.215822717
199	7.200887867
200	7.15340951
