iter	Passed	Remaining
0	8	7440
1	14	6412
2	20	6258
3	26	5950
4	32	5892
5	39	5823
6	52	6678
7	59	6672
8	66	6557
9	73	6524
10	79	6401
11	85	6360
12	99	6798
13	105	6673
14	112	6629
15	118	6528
16	124	6481
17	130	6399
18	137	6368
19	151	6646
20	156	6558
21	164	6549
22	170	6484
23	176	6450
24	182	6377
25	188	6341
26	194	6290
27	207	6465
28	213	6403
29	219	6379
30	225	6327
31	232	6305
32	238	6265
33	245	6248
34	251	6220
35	264	6356
36	272	6365
37	279	6330
38	286	6324
39	292	6284
40	298	6264
41	311	6360
42	317	6330
43	324	6311
44	331	6296
45	336	6249
46	343	6234
47	349	6199
48	362	6290
49	367	6253
50	374	6241
51	380	6208
52	387	6195
53	394	6186
54	401	6161
55	413	6235
56	420	6225
57	427	6200
58	433	6183
59	439	6153
60	446	6134
61	451	6106
62	458	6091
63	471	6155
64	477	6138
65	484	6126
66	491	6105
67	497	6085
68	503	6065
69	510	6050
70	523	6110
71	529	6084
72	535	6071
73	542	6055
74	552	6074
75	557	6048
76	564	6034
77	577	6081
78	583	6065
79	591	6060
80	596	6033
81	604	6026
82	614	6046
83	621	6035
84	634	6080
85	641	6070
86	650	6079
87	657	6069
88	665	6065
89	672	6052
90	678	6030
91	684	6013
92	698	6065
93	705	6046
94	711	6032
95	717	6011
96	724	5997
97	730	5974
98	736	5961
99	742	5942
100	755	5979
101	762	5964
102	768	5945
103	775	5932
104	781	5916
105	787	5899
106	794	5886
107	799	5866
108	817	5929
109	824	5921
110	830	5903
111	837	5892
112	843	5876
113	850	5863
114	858	5857
115	871	5891
116	877	5872
117	884	5858
118	890	5844
119	896	5829
120	903	5817
121	909	5800
122	916	5788
123	929	5819
124	935	5800
125	942	5787
126	948	5771
127	954	5757
128	960	5740
129	966	5726
130	980	5754
131	986	5740
132	994	5732
133	999	5715
134	1006	5704
135	1013	5691
136	1019	5675
137	1032	5702
138	1038	5684
139	1044	5670
140	1050	5652
141	1056	5641
142	1062	5625
143	1070	5617
144	1075	5601
145	1088	5622
146	1095	5611
147	1101	5596
148	1107	5583
149	1113	5567
150	1119	5553
151	1125	5538
152	1138	5557
153	1144	5544
154	1151	5535
155	1157	5520
156	1164	5509
157	1170	5497
158	1176	5483
159	1189	5499
160	1195	5488
161	1201	5474
162	1207	5460
163	1213	5445
164	1219	5432
165	1226	5421
166	1240	5445
167	1247	5436
168	1254	5426
169	1260	5412
170	1266	5398
171	1273	5388
172	1278	5374
173	1285	5365
174	1299	5381
175	1305	5370
176	1311	5358
177	1318	5346
178	1324	5334
179	1330	5320
180	1336	5310
181	1349	5322
182	1355	5308
183	1361	5297
184	1367	5285
185	1373	5271
186	1379	5259
187	1385	5247
188	1397	5257
189	1403	5244
190	1409	5233
191	1415	5220
192	1421	5209
193	1427	5196
194	1433	5183
195	1439	5171
196	1451	5181
197	1457	5169
198	1463	5156
199	1470	5146
